position,company,communication skills,problem solving,attention to detail,interpersonal skills,decision making,teamwork,has_2 years,has_3 years,has_4 years,has_5 years,has_10 years,has_1 year,has_bachelor,has_master,has_phd ,has_msc ,has_ba ,has_bsc ,has_b.s ,has_ph.d ,has_b.s.,has_b.a ,has_python,has_sql,has_power bi,has_excel,has_tableau,has_java,has_c++,City,State,machine learning engineer,data scientist,research analyst,data analyst,data engineer,research scientist,has_ r 
development director,ALS TDI,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
an ostentatiously-excitable principal research assistant to chief scientist,The Hexagon Lavish,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
data scientist,Xpert Staffing,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,Atlanta, GA,False,True,False,False,False,False,True
data analyst,Operation HOPE,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,Atlanta, GA,False,False,False,True,False,False,True
assistant professor -tt - signal processing & machine learning,Emory University,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
manager of data engineering,McKinsey & Company,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Atlanta, GA,False,False,False,False,True,False,False
"product specialist - periscope, new ventures",McKinsey & Company,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,Atlanta, GA,False,False,False,False,False,False,False
"junior to mid-level engineer, geologist or environmental scientist",Wood,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
analyst - cib credit research,SunTrust,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
senior associate - cognitive data scientist natural language processing,KPMG,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,True,False,False,False,False,False
statistical forecast analyst,The Home Depot,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
health scientist iii-cpts,Chenega Corporation,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
"senior associate, data scientist",KPMG,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,True,False,False,False,False,False
assistant scientist (ar) som,Emory University,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
business intelligence data science analyst - supply chain,Newell Brands,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,Atlanta, GA,False,False,False,False,False,False,False
data scientist,Cotiviti,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,Atlanta, GA,False,True,False,False,False,False,True
senior structural engineer-transmission & distribution,Burns & McDonnell,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
senior mobile developer (ios/android),Perficient,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Atlanta, GA,False,False,False,False,False,False,False
data scientist,Relus Cloud,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,Atlanta, GA,False,True,False,False,False,False,False
data scientist,Inspire Brands,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,Atlanta, GA,False,True,False,False,False,False,True
senior electrical engineer,Burns & McDonnell,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
"sr. manager, full stack development, kpmg tax ignition",KPMG,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,False,True
data scientist,Norfolk Southern Corp,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,Atlanta, GA,False,True,False,False,False,False,True
data scientist - supply chain,The Home Depot,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,True,Atlanta, GA,False,True,False,False,False,False,True
"data scientist, keying & linking",Equifax,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,Atlanta, GA,False,True,False,False,False,False,True
data scientist,AirSage,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,Atlanta, GA,False,True,False,False,False,False,True
data scientist 1 – ap forensics team,The Home Depot,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Atlanta, GA,False,True,False,False,False,False,True
data scientist - icl,Georgia Tech Research Institute,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Atlanta, GA,False,True,False,False,False,False,True
"data scientist, online",The Home Depot,True,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,Atlanta, GA,False,True,False,False,False,False,False
data scientist - consultant level - orlando florida - we will help relocate,Capgemini,False,False,False,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,Atlanta, GA,False,True,False,False,False,False,True
senior data scientist,Catalina Marketing,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,Atlanta, GA,False,True,False,False,False,False,True
business intelligence data scientist - supply chain,Newell Brands,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,Atlanta, GA,False,True,False,False,False,False,False
entry level/junior-level scientist,"Kleinfelder, Inc.",True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
scientist - data analysis,AMERICAN CANCER SOCIETY,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Atlanta, GA,False,False,False,False,False,False,True
data scientist,SalesLoft,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,Atlanta, GA,False,True,False,False,False,False,True
data scientist,McKesson,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,Atlanta, GA,False,True,False,False,False,False,False
data scientist,The Intersect Group,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Atlanta, GA,False,True,False,False,False,False,True
health scientist,Centers for Disease Control and Prevention,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
data scientist,OM Partners,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,Atlanta, GA,False,True,False,False,False,False,True
data scientist - space optimization,The Home Depot,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,Atlanta, GA,False,True,False,False,False,False,True
"data science specialist - periscope, new ventures",McKinsey & Company,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,False,True
senior data scientist,Cotiviti,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,Atlanta, GA,False,True,False,False,False,False,True
manager - data scientist ! orlando!,Capgemini,False,False,False,True,False,False,True,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,Atlanta, GA,False,True,False,False,False,False,True
scientist ii,The Coca-Cola Company,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
lead data scientist,Norfolk Southern Corp,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,Atlanta, GA,False,True,False,False,False,False,True
senior data scientist,Norfolk Southern Corp,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,Atlanta, GA,False,True,False,False,False,False,True
"data scientist - consultant level - orlando, florida - we will assist with relocation",Capgemini,False,False,False,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,Atlanta, GA,False,True,False,False,False,False,True
flight safety data analysis fall co-op,Delta Air Lines,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,Atlanta, GA,False,False,False,False,False,False,True
chief deep learning scientist,YIWEI Medical Inc.,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
supervisory health scientist,Centers for Disease Control and Prevention,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Atlanta, GA,False,False,False,False,False,False,False
manager - cognitive data scientist natural language processing,KPMG,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Atlanta, GA,False,True,False,False,False,False,False
"director, data scientist",KPMG,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,Atlanta, GA,False,True,False,False,False,False,True
"vp, data scientist- atlanta, ga; charlotte, nc",Bank of America Merchant Services,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,Atlanta, GA,False,True,False,False,False,False,True
