song_ids,songs,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2I6mf3RFLj1c0k5OpX5sKg,Guns and Dogs,Portugal. The Man,0.614,0.67,10,-6.616,1,0.0329,0.36,0.0856,0.108,0.578,80.022,audio_features,2I6mf3RFLj1c0k5OpX5sKg,spotify:track:2I6mf3RFLj1c0k5OpX5sKg,https://api.spotify.com/v1/tracks/2I6mf3RFLj1c0k5OpX5sKg,https://api.spotify.com/v1/audio-analysis/2I6mf3RFLj1c0k5OpX5sKg,164520,4
6QgjcU0zLnzq5OrUoSZ3OK,Feel It Still,Portugal. The Man,0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,audio_features,6QgjcU0zLnzq5OrUoSZ3OK,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,https://api.spotify.com/v1/tracks/6QgjcU0zLnzq5OrUoSZ3OK,https://api.spotify.com/v1/audio-analysis/6QgjcU0zLnzq5OrUoSZ3OK,163253,4
4SNtyKNyYJ8ERT7YLlnFBr,So Young,Portugal. The Man,0.671,0.445,4,-7.842,0,0.0291,0.348,5.93e-05,0.155,0.811,75.996,audio_features,4SNtyKNyYJ8ERT7YLlnFBr,spotify:track:4SNtyKNyYJ8ERT7YLlnFBr,https://api.spotify.com/v1/tracks/4SNtyKNyYJ8ERT7YLlnFBr,https://api.spotify.com/v1/audio-analysis/4SNtyKNyYJ8ERT7YLlnFBr,246480,4
0NBAXi7pWtoiLo7oomWBKw,Forever & Ever More,Nothing But Thieves,0.289,0.841,8,-4.33,1,0.146,0.00582,0.00771,0.267,0.399,183.17,audio_features,0NBAXi7pWtoiLo7oomWBKw,spotify:track:0NBAXi7pWtoiLo7oomWBKw,https://api.spotify.com/v1/tracks/0NBAXi7pWtoiLo7oomWBKw,https://api.spotify.com/v1/audio-analysis/0NBAXi7pWtoiLo7oomWBKw,208134,3
3meXdlcyYTgukuOfX6VyhJ,Amsterdam,Nothing But Thieves,0.513,0.932,10,-5.016,1,0.172,0.00456,2.48e-05,0.245,0.665,168.062,audio_features,3meXdlcyYTgukuOfX6VyhJ,spotify:track:3meXdlcyYTgukuOfX6VyhJ,https://api.spotify.com/v1/tracks/3meXdlcyYTgukuOfX6VyhJ,https://api.spotify.com/v1/audio-analysis/3meXdlcyYTgukuOfX6VyhJ,272240,4
5xqNdA1HmJhZ0amRURuowK,Out Of Luck,Airways,0.516,0.979,2,-4.104,1,0.0856,0.00565,0.000979,0.437,0.621,90.074,audio_features,5xqNdA1HmJhZ0amRURuowK,spotify:track:5xqNdA1HmJhZ0amRURuowK,https://api.spotify.com/v1/tracks/5xqNdA1HmJhZ0amRURuowK,https://api.spotify.com/v1/audio-analysis/5xqNdA1HmJhZ0amRURuowK,176987,4
4YZVtRbdGOhHdGNi4JpCL5,Thank God I'm Not You,Himalayas,0.542,0.828,11,-3.91,0,0.0536,0.00175,0.0136,0.06,0.785,126.037,audio_features,4YZVtRbdGOhHdGNi4JpCL5,spotify:track:4YZVtRbdGOhHdGNi4JpCL5,https://api.spotify.com/v1/tracks/4YZVtRbdGOhHdGNi4JpCL5,https://api.spotify.com/v1/audio-analysis/4YZVtRbdGOhHdGNi4JpCL5,194626,4
3tNMevknMvnyS7GYZ2KUGI,Bad Habits,The Last Shadow Puppets,0.52,0.642,9,-7.546,1,0.0434,0.000517,0.0017,0.0794,0.449,88.967,audio_features,3tNMevknMvnyS7GYZ2KUGI,spotify:track:3tNMevknMvnyS7GYZ2KUGI,https://api.spotify.com/v1/tracks/3tNMevknMvnyS7GYZ2KUGI,https://api.spotify.com/v1/audio-analysis/3tNMevknMvnyS7GYZ2KUGI,180968,4
2IHxrbIAQB5sRZTGYvEd01,Mother - Single Version,The Amazons,0.429,0.873,5,-6.121,1,0.0539,0.00362,0.299,0.111,0.439,79.529,audio_features,2IHxrbIAQB5sRZTGYvEd01,spotify:track:2IHxrbIAQB5sRZTGYvEd01,https://api.spotify.com/v1/tracks/2IHxrbIAQB5sRZTGYvEd01,https://api.spotify.com/v1/audio-analysis/2IHxrbIAQB5sRZTGYvEd01,305345,4
09Y2W9P5qpKJZbrSvSD9T7,Don't Wait 'Til Tomorrow,YONAKA,0.466,0.792,0,-4.188,1,0.031,0.00479,0.0,0.0884,0.451,93.929,audio_features,09Y2W9P5qpKJZbrSvSD9T7,spotify:track:09Y2W9P5qpKJZbrSvSD9T7,https://api.spotify.com/v1/tracks/09Y2W9P5qpKJZbrSvSD9T7,https://api.spotify.com/v1/audio-analysis/09Y2W9P5qpKJZbrSvSD9T7,198800,4
