,artist,title,genre
0,ADELE,EASY ON ME,singles-chart
1,ADELE,OH MY GOD,singles-chart
2,ED SHEERAN,SHIVERS,singles-chart
3,ADELE,I DRINK WINE,singles-chart
4,ED SHEERAN,BAD HABITS,singles-chart
5,TAYLOR SWIFT,ALL TOO WELL (TAYLOR'S VERSION),singles-chart
6,ARRDEE,FLOWERS (SAY MY NAME),singles-chart
7,D-BLOCK EUROPE FT CENTRAL CEE,OVERSEAS,singles-chart
8,SAM FENDER,SEVENTEEN GOING UNDER,singles-chart
9,ED SHEERAN,OVERPASS GRAFFITI,singles-chart
10,SWITCHOTR FT A1 & J1,COMING FOR YOU,singles-chart
11,ELTON JOHN & DUA LIPA,COLD HEART,singles-chart
12,ACRAZE FT CHERISH,DO IT TO IT,singles-chart
13,GAYLE,ABCDEFU,singles-chart
14,CENTRAL CEE,OBSESSED WITH YOU,singles-chart
15,EWAN MCVICAR,TELL ME SOMETHING GOOD,singles-chart
16,ANXIETY/WILLOW/TYLER COLE,MEET ME AT OUR SPOT,singles-chart
17,SILK SONIC/BRUNO MARS/PAAK,SMOKIN OUT THE WINDOW,singles-chart
18,COLDPLAY & BTS,MY UNIVERSE,singles-chart
19,JOEL CORRY FT MABEL,I WISH,singles-chart
20,DERMOT KENNEDY,BETTER DAYS,singles-chart
21,D-BLOCK EUROPE,NO COMPETITION,singles-chart
22,ANNE-MARIE & NIALL HORAN,EVERYWHERE (BBC CHILDREN IN NEED),singles-chart
23,MARIAH CAREY,ALL I WANT FOR CHRISTMAS IS YOU,singles-chart
24,CLEAN BANDIT/TOPIC/WES NELSON,DRIVE,singles-chart
25,ARZ,ALONE WITH YOU,singles-chart
26,CKAY,LOVE NWANTITI (AH AH AH),singles-chart
27,WHAM,LAST CHRISTMAS,singles-chart
28,JUSTIN BIEBER,GHOST,singles-chart
29,KID LAROI & JUSTIN BIEBER,STAY,singles-chart
30,GLASS ANIMALS,HEAT WAVES,singles-chart
31,AMAARAE FT MOLIY,SAD GIRLZ LUV MONEY,singles-chart
32,POST MALONE & WEEKND,ONE RIGHT NOW,singles-chart
33,NEIKED/MAE MULLER/POLO G,BETTER DAYS,singles-chart
34,D-BLOCK EUROPE,FUNNY BUNNY NAILS,singles-chart
35,BECKY HILL & TOPIC,MY HEART GOES (LA DI DA),singles-chart
36,SWEDISH HOUSE MAFIA/WEEKND,MOTH TO A FLAME,singles-chart
37,LIL NAS X & JACK HARLOW,INDUSTRY BABY,singles-chart
38,LOST FREQUENCIES/CALUM SCOTT,WHERE ARE YOU NOW,singles-chart
39,IMAGINE DRAGONS/JID/LEAGUE OF,ENEMY,singles-chart
40,LIL NAS X,THATS WHAT I WANT,singles-chart
41,SAM FENDER,SPIT OF YOU,singles-chart
42,WEEKND,TAKE MY BREATH,singles-chart
43,POGUES FT KIRSTY MACCOLL,FAIRYTALE OF NEW YORK,singles-chart
44,SILK SONIC/BRUNO MARS/PAAK,LEAVE THE DOOR OPEN,singles-chart
45,JOEL CORRY/JAX JONES/XCX,OUT OUT,singles-chart
46,BILLIE EILISH,HAPPIER THAN EVER,singles-chart
47,DOJA CAT,WOMAN,singles-chart
48,MICHAEL BUBLE,IT'S BEGINNING TO LOOK A LOT LIKE,singles-chart
49,BEATFREAKZ/RAYE/RUSS/WWW,MONEY CALLING,singles-chart
50,MEDUZA FT HOZIER,TELL IT TO MY HEART,singles-chart
51,SHAKIN' STEVENS,MERRY CHRISTMAS EVERYONE,singles-chart
52,TAYLOR SWIFT,RED (TAYLOR'S VERSION),singles-chart
53,TAYLOR SWIFT,STATE OF GRACE (TAYLOR'S VERSION),singles-chart
54,BENSON BOONE,GHOST TOWN,singles-chart
55,JUICE WRLD,ALREADY DEAD,singles-chart
56,LITTLE MIX,NO,singles-chart
57,BRENDA LEE,ROCKIN' AROUND THE CHRISTMAS TREE,singles-chart
58,TATE MCRAE,FEEL LIKE S**T,singles-chart
59,BECKY HILL & DAVID GUETTA,REMEMBER,singles-chart
60,OLIVIA RODRIGO,GOOD 4 U,singles-chart
61,TOM GRENNAN,DON'T BREAK THE HEART,singles-chart
62,WEEKND,SAVE YOUR TEARS,singles-chart
63,FELIXTHE1ST/DREYA MAC,OWN BRAND FREESTYLE,singles-chart
64,CRAIG DAVID & MNEK,WHO YOU ARE,singles-chart
65,BAND AID,DO THEY KNOW IT'S CHRISTMAS,singles-chart
66,JONASU,BLACK MAGIC,singles-chart
67,JESY NELSON FT NICKI MINAJ,BOYZ,singles-chart
68,DIGGA D,RED LIGHT GREEN LIGHT,singles-chart
69,KELLY CLARKSON,UNDERNEATH THE TREE,singles-chart
70,MEEKZ,MORE MONEY,singles-chart
71,ELTON JOHN,STEP INTO CHRISTMAS,singles-chart
72,SUMMER WALKER & SZA,NO LOVE,singles-chart
73,WIZZARD,I WISH IT COULD BE CHRISTMAS EVERYDAY,singles-chart
74,JETHRO HESTON/MAX MARSHALL,CUT ME LOOSE,singles-chart
75,TIESTO & AVA MAX,THE MOTTO,singles-chart
76,WEEKND,BLINDING LIGHTS,singles-chart
77,ARIANA GRANDE,SANTA TELL ME,singles-chart
78,GRIFF,ONE NIGHT,singles-chart
79,CHRIS REA,DRIVING HOME FOR CHRISTMAS,singles-chart
80,DOJA CAT & WEEKND,YOU RIGHT,singles-chart
81,DAVE FT STORMZY,CLASH,singles-chart
82,KILLERS,MR BRIGHTSIDE,singles-chart
83,DUA LIPA,LEVITATING,singles-chart
84,GEORGE EZRA,COME ON HOME FOR CHRISTMAS,singles-chart
85,ANDY WILLIAMS,IT'S THE MOST WONDERFUL TIME OF THE YEAR,singles-chart
86,GALANTIS/GUETTA/LITTLE MIX,HEARTBREAK ANTHEM,singles-chart
87,POLO G,BAD MAN (SMOOTH CRIMINAL),singles-chart
88,FIREBOY DML,PERU,singles-chart
89,RITON & RAYE,I DON'T WANT YOU,singles-chart
90,DRAKE FT LIL BABY,GIRLS WANT GIRLS,singles-chart
91,BOYWITHUKE,TOXIC,singles-chart
92,LISA,MONEY,singles-chart
93,SR,WELCOME TO BRIXTON,singles-chart
94,ANNE-MARIE & LITTLE MIX,KISS MY (UH OH),singles-chart
95,LEWIS CAPALDI,SOMEONE YOU LOVED,singles-chart
96,SHOUSE,LOVE TONIGHT,singles-chart
97,JASON DERULO,ACAPULCO,singles-chart
98,DUTCHAVELLI,NEVER FORGET YOU,singles-chart
99,DIGGA D FT ARRDEE,WASTED,singles-chart
