Shazam Top 200 Global Chart: The most Shazamed tracks in the world
"Monday, 29 November 2021 [performance over the past 7 days]"
Rank,Artist,Title
1,"Acraze Feat. Cherish","Do It To It [Mixed]"
2,"Elton John & Dua Lipa","Cold Heart (PNAU Remix)"
3,"Akon","Belly Dancer (Dirty Valente & Kevin D Remix)"
4,"CKay Feat. Axel & Dj Yo!","love nwantiti [Remix]"
5,"Adele","Easy On Me"
6,"Amaarae & Moliy Feat. Kali Uchis","Sad Girlz Luv Money Remix"
7,"GAYLE","abcdefu"
8,"Farruko","Pepas"
9,"Ed Sheeran","Shivers"
10,"Lil Nas X & Jack Harlow","INDUSTRY BABY"
11,"Glass Animals","Heat Waves"
12,"The Kid LAROI & Justin Bieber","Stay"
13,"BoyWithUke","Toxic"
14,"Akon","Bananza (Belly Dancer)"
15,"Akon","Bananza (Rhythmkane Remix)"
16,"FelixThe1st & Dreya Mac Feat. Finch Fetti","Own Brand Freestyle"
17,"Imagine Dragons, JID & League of Legends","Enemy (From the series "Arcane League of Legends")"
18,"Måneskin","Beggin"
19,"Ed Sheeran","Bad Habits"
20,"Lost Frequencies & Calum Scott","Where Are You Now (Mixed)"
21,"Coldplay & BTS","My Universe"
22,"George Michael","Careless Whisper"
23,"Shouse","Love Tonight"
24,"CKay Feat. ElGrande Toto","love nwantiti (North African Remix)"
25,"Swedish House Mafia & The Weeknd","Moth To A Flame"
26,"Sean Paul","Temperature"
27,"Elley Duhé","Middle of the Night"
28,"Jaymes Young","Infinity"
29,"Lil Nas X","THATS WHAT I WANT"
30,"Moreart Feat. IHI","Я буду ***ть"
31,"Skylar Grey, Polo G, Mozzy & Eminem","Last One Standing (From Venom: Let There Be Carnage)"
32,"Bruno Mars, Anderson .Paak & Silk Sonic","Smokin Out The Window"
33,"Ollane Feat. Miyagi","Touch the Sky"
34,"Kanye West","Praise God"
35,"Ed Sheeran","Overpass Graffiti"
36,"AD","Davae"
37,"Jon Lajoie","Everyday Normal Guy 2"
38,"Люся Чеботина","СОЛНЦЕ МОНАКО"
39,"Shane Smith & The Saints","All I See Is You"
40,"Nicki Minaj Feat. Lil Wayne","High School"
41,"zzoilo & Aitana","Mon Amour (Remix)"
42,"Tiësto & KAROL G","Don't Be Shy"
43,"The Rare Occasions","Notion"
44,"SZA","I Hate You"
45,"ROSALÍA Feat. The Weeknd","LA FAMA"
46,"Fave","Baby Riddim"
47,"bbno$ Feat. Rich Brian","edamame"
48,"Circles Bob","Frozen"
49,"LISA","MONEY"
50,"J Balvin & Skrillex","In Da Getto"
51,"Oliver Tree","Life Goes On"
52,"Doja Cat & The Weeknd","You Right"
53,"Blackbear","Idfc"
54,"K.Flay","High Enough"
55,"Monsieur Periné Feat. Vicente García","Nuestra Canción"
56,"NEIKED, Mae Muller & Polo G","Better Days"
57,"Gotye Feat. Kimbra","Somebody That I Used To Know"
58,"Harlem Spartans Feat. Bis & MizOrMac","Mad About Bars"
59,"The Weeknd","Save Your Tears"
60,"Post Malone & The Weeknd","One Right Now"
61,"CKay","Love Nwantiti (Ah Ah Ah)"
62,"Tiësto & Ava Max","The Motto"
63,"Joeboy","Sip (Alcohol)"
64,"Witt Lowry Feat. Ava Max","Into Your Arms"
65,"Григорий Лепс","Зараза"
66,"Purple Disco Machine Feat. Eyelar","Dopamine"
67,"Doja Cat","Need To Know"
68,"Katy Perry","Harleys In Hawaii"
69,"Capital Cities","Safe And Sound"
70,"Sean Paul Feat. Dua Lipa","No Lie"
71,"JONY & HammAli","Наверно, ты меня не помнишь"
72,"Imagine Dragons","Wrecked"
73,"Drake Feat. Lil Durk & GIVĒON","In The Bible"
74,"Marshmello & Jonas Brothers","Leave Before You Love Me"
75,"Daft Punk Feat. Pharrell Williams","Get Lucky"
76,"Kungs","Lipstick"
77,"Pascal Letoublon Feat. Leony","Friendships (Lost My Love)"
78,"Doja Cat","Woman"
79,"Billie Eilish","Happier Than Ever"
80,"Miyagi & Andy Panda Feat. Mav-d","Marmalade"
81,"Emmy Meli","I AM WOMAN"
82,"Justin Bieber","Ghost"
83,"Le classico organisé Feat. Elams, Naza, Tayc, JUL, Vegedream, Naps, Lynda, SAF & Thabiti","Cœur de pirate"
84,"Sia","Unstoppable"
85,"NЮ","Никто"
86,"Wizkid Feat. Tems","Essence"
87,"The Weeknd","Take My Breath"
88,"Ch'cco Feat. Mellow & Sleazy","Nkao Tempela"
89,"Backstreet Boys","I Want It That Way"
90,"Anderson .Paak","Fire In The Sky"
91,"Tom Odell","Another Love"
92,"Ludovico Einaudi","Experience"
93,"Adele","Rolling In The Deep"
94,"Coolio Feat. L.V.","Gangsta's Paradise"
95,"Big Baby Tape & kizaru","99 Problems"
96,"Siouxxie","Masquerade"
97,"JV.JARVIS","น้ำแดงน้ำส้ม"
98,"Sebastián Yatra","Tacones Rojos"
99,"Doja Cat Feat. SZA","Kiss Me More"
100,"Willie Nelson","Hands On The Wheel"
101,"Becky Hill & Topic","My Heart Goes (La Di Da)"
102,"Joel Corry & Jax Jones Feat. Charli XCX & Saweetie","OUT OUT"
103,"Olivia Rodrigo","good 4 u"
104,"Camila Cabello","Don't Go Yet"
105,"INNA","UP"
106,"Rae Sremmurd Feat. Gucci Mane","Black Beatles"
107,"GAYAZOV$ BROTHER$","Rosa X"
108,"THE ANXIETY, WILLOW & Tyler Cole","Meet Me At Our Spot"
109,"Chlöe","Have Mercy"
110,"LOVV66","Говорят чо (Live)"
111,"Duncan Laurence","Arcade"
112,"Enrasta","Джованна"
113,"Loud Urban Choir","Bloody Samaritan (Cover)"
114,"1da Banton","No Wahala"
115,"Felo Le Tee & Myztro","66 (Mixed)"
116,"SwitchOTR Feat. A1 x J1","Coming for You"
117,"DJ Erik JP","AUTOMOTIVO EXTRADIMENSIONAL"
118,"The Weeknd","Blinding Lights"
119,"Tech N9ne, Joey Cool, King Iso & Dwayne Johnson","Face Off"
120,"Glimmer Of Blooms","Can't Get You Out Of My Head"
121,"Dua Lipa","Love Again"
122,"Adele","I Drink Wine"
123,"Taylor Swift","Enchanted"
124,"Rockwell","Somebody's Watching Me"
125,"Adele","Oh My God"
126,"Руслан Добрый & TURAL EVEREST","Волки"
127,"The Neighbourhood","Sweater Weather"
128,"Blxst & Tyga Feat. Ty Dolla $ign","Chosen"
129,"Grover Washington Jr.","Just The Two Of Us"
130,"Billie Eilish","No Time To Die"
131,"LXST CXNTURY","Odium"
132,"Master KG Feat. Nomcebo Zikode","Jerusalema"
133,"Jason Derulo","Acapulco"
134,"Kungs","Never Going Home"
135,"Masked Wolf","Astronaut In The Ocean"
136,"THE ANXIETY, WILLOW & Tyler Cole","Meet Me At Our Spot (Live)"
137,"Gesaffelstein & The Weeknd","Lost In The Fire"
138,"Walker Hayes","Fancy Like"
139,"Robinson & Remuta","Chercher L'Argent"
140,"MC Levin","Sua Amiga Deu"
141,"Farruko, Victor Cardenas & Dj Adoni","El Incomprendido"
142,"Tesher","Jalebi Baby"
143,"Dermot Kennedy","Better Days"
144,"Ed Sheeran","Perfect"
145,"Latto","Big Energy"
